core,layer,layercode,x,y
menounos_cheak1,7,menounos_cheak1/7,0.4285,6.4757
menounos_cheak1,7,menounos_cheak1/7,0.7142,6.2257
menounos_cheak1,7,menounos_cheak1/7,1.238,5.9639
menounos_cheak1,7,menounos_cheak1/7,1.8808,5.7972
menounos_cheak1,7,menounos_cheak1/7,2.4522,5.7496
menounos_cheak1,7,menounos_cheak1/7,2.9998,5.7496
menounos_cheak1,7,menounos_cheak1/7,3.2736,5.8329
menounos_cheak1,7,menounos_cheak1/7,3.3926,5.9401
menounos_cheak1,8,menounos_cheak1/8,0.4285,7.8209
menounos_cheak1,8,menounos_cheak1/8,0.5476,7.5233
menounos_cheak1,8,menounos_cheak1/8,0.7738,7.3566
menounos_cheak1,8,menounos_cheak1/8,1.1666,7.2257
menounos_cheak1,8,menounos_cheak1/8,1.6308,7.1543
menounos_cheak1,8,menounos_cheak1/8,1.988,7.1185
menounos_cheak1,8,menounos_cheak1/8,2.2856,7.059
menounos_cheak1,8,menounos_cheak1/8,2.4522,6.9876
menounos_cheak1,8,menounos_cheak1/8,2.7141,7.0233
menounos_cheak1,8,menounos_cheak1/8,3.0593,7.0828
menounos_cheak1,8,menounos_cheak1/8,3.3093,7.0828
menounos_cheak1,8,menounos_cheak1/8,3.4521,7.0947
menounos_cheak2,1,menounos_cheak2/1,1.1736,1.1736
menounos_cheak2,1,menounos_cheak2/1,1.4996,0.9128
menounos_cheak2,1,menounos_cheak2/1,1.8909,0.652
menounos_cheak2,1,menounos_cheak2/1,2.3907,0.5433
menounos_cheak2,1,menounos_cheak2/1,2.8472,0.5433
menounos_cheak2,1,menounos_cheak2/1,3.3688,0.7824
menounos_cheak2,1,menounos_cheak2/1,3.8469,1.0432
menounos_cheak2,1,menounos_cheak2/1,4.3033,1.391
menounos_cheak2,1,menounos_cheak2/1,4.5641,1.717
menounos_cheak2,2,menounos_cheak2/2,1.1736,2.4559
menounos_cheak2,2,menounos_cheak2/2,1.4562,2.1299
menounos_cheak2,2,menounos_cheak2/2,1.8257,1.8039
menounos_cheak2,2,menounos_cheak2/2,2.2821,1.6735
menounos_cheak2,2,menounos_cheak2/2,2.6733,1.6518
menounos_cheak2,2,menounos_cheak2/2,3.2166,1.8257
menounos_cheak2,2,menounos_cheak2/2,3.6948,2.043
menounos_cheak2,2,menounos_cheak2/2,4.0425,2.4342
menounos_cheak2,2,menounos_cheak2/2,4.412,2.9341
menounos_cheak2,2,menounos_cheak2/2,4.5424,3.1514
menounos_cheak2,3,menounos_cheak2/3,1.1954,3.1949
menounos_cheak2,3,menounos_cheak2/3,1.4779,2.9124
menounos_cheak2,3,menounos_cheak2/3,1.8691,2.6081
menounos_cheak2,3,menounos_cheak2/3,2.2603,2.4777
menounos_cheak2,3,menounos_cheak2/3,2.5863,2.4777
menounos_cheak2,3,menounos_cheak2/3,3.0862,2.5646
menounos_cheak2,3,menounos_cheak2/3,3.4992,2.8254
menounos_cheak2,3,menounos_cheak2/3,3.8252,3.108
menounos_cheak2,3,menounos_cheak2/3,4.1077,3.3688
menounos_cheak2,3,menounos_cheak2/3,4.3903,3.6513
menounos_cheak2,3,menounos_cheak2/3,4.5424,3.9339
menounos_cheak2,4,menounos_cheak2/4,1.1954,5.1292
menounos_cheak2,4,menounos_cheak2/4,1.4779,4.8032
menounos_cheak2,4,menounos_cheak2/4,1.9561,4.5859
menounos_cheak2,4,menounos_cheak2/4,2.5646,4.4555
menounos_cheak2,4,menounos_cheak2/4,3.108,4.5424
menounos_cheak2,4,menounos_cheak2/4,3.6948,4.8467
menounos_cheak2,4,menounos_cheak2/4,4.1947,5.064
menounos_cheak2,4,menounos_cheak2/4,4.4337,5.3031
menounos_cheak2,4,menounos_cheak2/4,4.5207,5.6074
menounos_cheak2,5,menounos_cheak2/5,1.1736,6.8027
menounos_cheak2,5,menounos_cheak2/5,1.4127,6.455
menounos_cheak2,5,menounos_cheak2/5,1.8909,6.0421
menounos_cheak2,5,menounos_cheak2/5,2.3473,5.9116
menounos_cheak2,5,menounos_cheak2/5,2.7385,5.9116
menounos_cheak2,5,menounos_cheak2/5,3.1297,5.9551
menounos_cheak2,5,menounos_cheak2/5,3.5644,6.1507
menounos_cheak2,5,menounos_cheak2/5,3.9121,6.455
menounos_cheak2,5,menounos_cheak2/5,4.2816,6.8245
menounos_cheak2,5,menounos_cheak2/5,4.5424,7.1722
menounos_cheak2,6,menounos_cheak2/6,1.1736,8.2372
menounos_cheak2,6,menounos_cheak2/6,1.391,7.8894
menounos_cheak2,6,menounos_cheak2/6,1.8039,7.4982
menounos_cheak2,6,menounos_cheak2/6,2.2386,7.2809
menounos_cheak2,6,menounos_cheak2/6,2.6515,7.2157
menounos_cheak2,6,menounos_cheak2/6,3.1297,7.2809
menounos_cheak2,6,menounos_cheak2/6,3.5209,7.4982
menounos_cheak2,6,menounos_cheak2/6,3.9556,7.8025
menounos_cheak2,6,menounos_cheak2/6,4.3033,8.1068
menounos_cheak2,6,menounos_cheak2/6,4.5424,8.3676
menounos_cheak2,7,menounos_cheak2/7,1.1954,9.3456
menounos_cheak2,7,menounos_cheak2/7,1.4779,9.1065
menounos_cheak2,7,menounos_cheak2/7,1.8257,8.7805
menounos_cheak2,7,menounos_cheak2/7,2.2386,8.6067
menounos_cheak2,7,menounos_cheak2/7,2.7167,8.6067
menounos_cheak2,7,menounos_cheak2/7,3.2601,8.6501
